wof:id,sg:id
252828861,SG_4vZd1m4gyCXyt43MeNCzIc_42.568777_-73.245359@1294177022
253547765,SG_6Vb8PCWuS6pAwiP6xBv6KH_42.500207_-73.281815@1294177022
253254737,SG_1xfHypZce0NgTUNZvJIYIH_42.603048_-73.238479@1294177022
286458199,SG_79F24qIdMMmvJvaAxEJzPo_42.529590_-73.228491@1294177022
287000909,SG_0ykRy6O5NDLOb9XdyBtZlv_42.602823_-73.238241@1294177022
286704671,SG_2IdsATYbQXy3MbAS3d3yfw_42.532246_-73.229844@1294177022
353826375,SG_2tTmvgxNaTWVBrZpk7XD9G_42.513783_-73.228457@1294177022
370458995,SG_0q3hfNCKdYDrMbWZ1FppwF_42.507194_-73.233820@1294177022
304069519,SG_6NuYmOxf7um6nj8oJp4V1S_42.514858_-73.228001@1294177022
336871415,SG_318XTIoDkDHWyqhDK9hRV3_42.496033_-73.237406@1294177022
270146165,SG_37gsbaEKLGXqyKwIhCqEti_42.519385_-73.225408@1294177022
370724957,SG_5sLLUmNZqHTje4vK12nOQQ_42.515610_-73.233756@1294177022
403706787,SG_3a35S9RBKn2qKSWLBt4J8S_42.105589_-72.561758@1294128635
403708947,SG_5gs2bZFTVAVHPHzxs7tssg_42.106491_-72.559142@1294128635
319925559,SG_7cNEhX2tEqFHec31UDyHgw_42.541589_-73.315094@1294177022
403733309,SG_2Qbpzl16BObrxb0X3MeHx3_42.107886_-72.557225@1294128635
403776085,SG_7AKTSUfRXMntR2BBCTbQZr_42.131772_-72.549674@1294128635
403711041,SG_6Srza5D6lSlKiR7gIb1wbx_42.112981_-72.561601@1294128635
403737221,SG_1WewhRan4LPlWt7v5EBV4X_42.119782_-72.545990@1294128635
403739383,SG_7D1Vft2s09iRD7ZRdfzLef_42.112457_-72.561431@1294128635
287263685,SG_0U9MTxeIr9bfsHD5CK60NC_42.557364_-73.292138@1294177022
403801751,SG_33Sy4CI1g57zX7IFGPU4YS_42.112160_-72.556219@1294128635
403801321,SG_5GUNf2eHwS1H7UOVvF5zkD_42.108454_-72.529963@1294128635
286520491,SG_1U7pE9w7vBbcDMXPyZiGT7_42.499158_-73.238099@1294177022
371009685,SG_2weS92WfzCqVb2RlEQX8xq_42.494091_-73.238434@1294177022
370496679,SG_11gkYoFutMZrkGJI8NYiAR_42.307277_-71.147501@1303262387
403791541,SG_0LPUgHyrJU0m8lCEiQs2bQ_42.111766_-72.563804@1294128635
403832291,SG_1ayTmkFjhZiEeyCaH5dHi3_42.106765_-72.551088@1294128635
403778901,SG_6wQeH9FiIfYW8BFOfYTvYu_42.112289_-72.574762@1294128635
403763731,SG_0JZ8H6VymMV3A7HttCZYIM_42.121924_-72.546105@1294128635
404016135,SG_4KpyKtMLl3gtcgGG2xG4vr_42.104174_-72.567793@1294128635
404027249,SG_1kjT2HvtmzqypoVbxubMJr_42.113701_-72.537684@1294128635
403887407,SG_1x0eTkXc6H3KmgEtdG1KEq_42.101716_-72.566489@1294128635
403848635,SG_6464DJb2ozgRQkFvc5tOVs_42.122565_-72.543229@1294128635
403839993,SG_3LypCAYLoI3N6zPyR7ELjF_42.112475_-72.561387@1294128635
403828589,SG_7TzydvRffjpTtYR7HCeomE_42.111179_-72.563152@1294128635
403918637,SG_0JhvLGo7JOqp3b5uaMC60b_42.513783_-73.228457@1294177022
404044295,SG_5HcZV0CmfCbpAliMkz9f9E_42.114592_-72.567018@1294128635
404023937,SG_2pePALZfgvWLIEYEUWOiFo_42.114314_-72.555513@1294128635
403847319,SG_5cXAOmC5PuJ3hzYH4jZGVT_42.114592_-72.567018@1294128635
403751251,SG_751M2g9mIlEMMCwW3xWl1s_42.131999_-72.548581@1294128635
403765945,SG_10wDI6xScY4IFktXAY3Dyh_42.105928_-72.559221@1294128635
403849159,SG_4GD7YesWW2BBaFXXBZ7stY_42.132336_-72.547271@1294128635
403813901,SG_41F8ec6UlR3RKK6fGYGmFn_42.124116_-72.540266@1294128635
403971297,SG_3KS25yLa5G0xzxWzpJRE8V_42.112357_-72.565492@1294128635
404111985,SG_0pBYwM1vcyriWGFk6QaFiG_42.112289_-72.574762@1294128635
403973779,SG_2CaGiUPb3TTGvU3REydgdL_42.119116_-72.569485@1294128635
404119475,SG_0lzX57M3eUfabg6XBzSCYc_42.115373_-72.552045@1294128635
404051151,SG_4KtfFlKynzWyF1smiExen0_42.132533_-72.543064@1294128635
403910457,SG_6TTBHv2DpwLXCLs5JiHlIR_42.108605_-72.573957@1294128635
404012263,SG_6tU8qRFKRvtfxwp7TtMopA_42.124650_-72.538097@1294128635
404055733,SG_6JUZJCZoZxJTNTRpERR2n5_42.114439_-72.554720@1294128635
404071879,SG_2NczwhQKXhBNamPYdeGeFT_42.112463_-72.561227@1294128635
403837743,SG_2GrGKQARNWgbtG281sKy2H_42.518567_-73.222034@1294177022
404128821,SG_0yGW1rhlWxkUYkFgps2vlp_42.137499_-72.527370@1294128635
404129643,SG_6tHUE5COTR82nh5Dz3jKL1_42.116158_-72.560414@1294128635
404112415,SG_3zVio1cGphtEsU71Wwvvbk_42.111419_-72.564315@1294128635
404102447,SG_1EED5JTyApzaeCOjKpA5nR_42.131611_-72.550017@1294128635
403975169,SG_5M0Q692TZ63LQDSmvZeeJ5_42.137704_-72.527196@1294128635
403991575,SG_6hdwGu6taoauSPdsqPW7wM_42.104302_-72.560600@1294128635
403975183,SG_1Rl5phtv5PbyMqpc5RKP7V_42.115436_-72.576598@1294128635
403794079,SG_4UlzMH4kPhgHF27lzyefkV_42.107494_-72.563209@1294128635
404145491,SG_1n2OXJgXu4Oa0oCWXVIV7S_42.106175_-72.563084@1294128635
404144251,SG_2hpViz0FcShA14GaOU8VTZ_42.108549_-72.575499@1294128635
404111443,SG_7BlkW7TyhFzYTmotukMRdb_42.538163_-73.229911@1294177022
403895553,SG_1o4cO4om3gXOcAOqAkUTF5_42.117757_-72.565654@1294128635
404126067,SG_1hYzieJaVIOMk9YKEcimPn_42.122748_-72.543005@1294128635
404126141,SG_7Hi2vQE3hEskXvyqoOCluS_42.132732_-72.541427@1294128635
404131011,SG_6sb1hPtYBG6HoHcwVkEz5q_42.137704_-72.527196@1294128635
404064105,SG_2h7r1RsoeoNFu6Y4LQxn6Y_42.123846_-72.546509@1294128635
404068655,SG_3grmkUPcCO5BOSOaMrWwCe_42.122118_-72.530308@1294128635
404163007,SG_6SSkZUmcXsLaTBZFgMZafl_42.110203_-72.569037@1294128635
404168035,SG_5DLyH3kh6PjBZHMd89dFRw_42.124720_-72.536949@1294128635
404175407,SG_07m1IyTvnX5dMug9QmomYp_42.120618_-72.526928@1294128635
404182821,SG_0GFwWPEZvEZE3Y5jkRZn5o_42.515198_-73.223200@1294177022
353515399,SG_2n5wdL4XnmEyDNyTbWlYOd_42.501885_-73.237532@1294177022
